#           k/h    P           
   0.100000E-03   0.432632E+03
   0.102020E-03   0.441058E+03
   0.104081E-03   0.449648E+03
   0.106184E-03   0.458406E+03
   0.108329E-03   0.467333E+03
   0.110517E-03   0.476434E+03
   0.112750E-03   0.485712E+03
   0.115027E-03   0.495171E+03
   0.117351E-03   0.504814E+03
   0.119722E-03   0.514644E+03
   0.122140E-03   0.524665E+03
   0.124608E-03   0.534881E+03
   0.127125E-03   0.545295E+03
   0.129693E-03   0.555912E+03
   0.132313E-03   0.566735E+03
   0.134986E-03   0.577769E+03
   0.137713E-03   0.589017E+03
   0.140495E-03   0.600483E+03
   0.143333E-03   0.612172E+03
   0.146228E-03   0.624088E+03
   0.149182E-03   0.636236E+03
   0.152196E-03   0.648619E+03
   0.155271E-03   0.661243E+03
   0.158407E-03   0.674112E+03
   0.161607E-03   0.687230E+03
   0.164872E-03   0.700603E+03
   0.168203E-03   0.714236E+03
   0.171601E-03   0.728133E+03
   0.175067E-03   0.742299E+03
   0.178604E-03   0.756740E+03
   0.182212E-03   0.771461E+03
   0.185893E-03   0.786468E+03
   0.189648E-03   0.801765E+03
   0.193479E-03   0.817359E+03
   0.197388E-03   0.833254E+03
   0.201375E-03   0.849458E+03
   0.205443E-03   0.865975E+03
   0.209594E-03   0.882812E+03
   0.213828E-03   0.899974E+03
   0.218147E-03   0.917469E+03
   0.222554E-03   0.935302E+03
   0.227050E-03   0.953479E+03
   0.231637E-03   0.972008E+03
   0.236316E-03   0.990895E+03
   0.241090E-03   0.101015E+04
   0.245960E-03   0.102977E+04
   0.250929E-03   0.104977E+04
   0.255998E-03   0.107016E+04
   0.261170E-03   0.109094E+04
   0.266446E-03   0.111212E+04
   0.271828E-03   0.113371E+04
   0.277319E-03   0.115572E+04
   0.282922E-03   0.117815E+04
   0.288637E-03   0.120101E+04
   0.294468E-03   0.122431E+04
   0.300417E-03   0.124806E+04
   0.306485E-03   0.127226E+04
   0.312677E-03   0.129693E+04
   0.318993E-03   0.132208E+04
   0.325437E-03   0.134770E+04
   0.332012E-03   0.137382E+04
   0.338719E-03   0.140044E+04
   0.345561E-03   0.142756E+04
   0.352542E-03   0.145521E+04
   0.359664E-03   0.148338E+04
   0.366930E-03   0.151210E+04
   0.374342E-03   0.154136E+04
   0.381904E-03   0.157118E+04
   0.389619E-03   0.160157E+04
   0.397490E-03   0.163254E+04
   0.405520E-03   0.166409E+04
   0.413712E-03   0.169625E+04
   0.422070E-03   0.172902E+04
   0.430596E-03   0.176241E+04
   0.439295E-03   0.179643E+04
   0.448169E-03   0.183110E+04
   0.457222E-03   0.186643E+04
   0.466459E-03   0.190242E+04
   0.475882E-03   0.193909E+04
   0.485496E-03   0.197646E+04
   0.495303E-03   0.201453E+04
   0.505309E-03   0.205332E+04
   0.515517E-03   0.209284E+04
   0.525931E-03   0.213309E+04
   0.536556E-03   0.217411E+04
   0.547395E-03   0.221589E+04
   0.558453E-03   0.225846E+04
   0.569734E-03   0.230182E+04
   0.581244E-03   0.234599E+04
   0.592986E-03   0.239099E+04
   0.604965E-03   0.243682E+04
   0.617186E-03   0.248351E+04
   0.629654E-03   0.253106E+04
   0.642374E-03   0.257949E+04
   0.655350E-03   0.262882E+04
   0.668589E-03   0.267906E+04
   0.682096E-03   0.273022E+04
   0.695875E-03   0.278233E+04
   0.709933E-03   0.283540E+04
   0.724274E-03   0.288944E+04
   0.738906E-03   0.294446E+04
   0.753832E-03   0.300050E+04
   0.769061E-03   0.305756E+04
   0.784597E-03   0.311565E+04
   0.800447E-03   0.317480E+04
   0.816617E-03   0.323502E+04
   0.833114E-03   0.329633E+04
   0.849944E-03   0.335875E+04
   0.867114E-03   0.342230E+04
   0.884631E-03   0.348698E+04
